source,target,tgt_lng
Accelerator mecanic,發條加速器,zh-TW
Acceleratore meccanico,發條加速器,zh-TW
Accetta infernale,獄火手斧,zh-TW
Acciaio brillante,不破金鋼,zh-TW
Accélérateur mécanique,發條加速器,zh-TW
Acelerador Mecanizado,發條加速器,zh-TW
Acelerador Mecánico,發條加速器,zh-TW
Acelerador de relojería,發條加速器,zh-TW
Acero Dorado,不破金鋼,zh-TW
Acero dorado,不破金鋼,zh-TW
Achat 3 étoiles,打造夥伴,zh-TW
Acier doré,不破金鋼,zh-TW
Actualiza sin parar,抽好抽滿I,zh-TW
Acumular,長久之計,zh-TW
Acélszív,心之抗防,zh-TW
Adagas Oscilantes,閃刃,zh-TW
Adaletin Eli,正義手套,zh-TW
Adaletin Yumruğu,復仇,zh-TW
Adaptive Helm,適性神盔,zh-TW
Adaptiver Helm,適性神盔,zh-TW
Adaptív sisak,適性神盔,zh-TW
Addestramento da Guardia del corpo,保鑣訓練,zh-TW
Adiestramiento de guardaespaldas,保鑣訓練,zh-TW
Advanced Loan,進階貸款,zh-TW
Aegis of Dawn,黎明聖盾,zh-TW
Aegis of Dusk,黃昏聖盾,zh-TW
Agujero negro en miniatura,迷你黑洞,zh-TW
Ahri aurája,阿璃的靈氣,zh-TW
Ahri áldása,阿璃的祝福,zh-TW
Ahri'nin Haresi,阿璃的靈氣,zh-TW
Ahri'nin Lütfu,阿璃的祝福,zh-TW
Ahri's Aura,阿璃的靈氣,zh-TW
Ahri's Boon,阿璃的祝福,zh-TW
Ahris Aura,阿璃的靈氣,zh-TW
Ahris Segen,阿璃的祝福,zh-TW
Ahřin dar,阿璃的祝福,zh-TW
Ahřina aura,阿璃的靈氣,zh-TW
Ajándékcsomag,物資箱,zh-TW
Akali,阿卡莉,zh-TW
Akan Gözyaşları,淚光閃閃,zh-TW
Akcelerator Nakręcanego,發條加速器,zh-TW
Aklın Sonu,智慧末刃,zh-TW
Aktualisierungstaumel,抽好抽滿I,zh-TW
Akıllı Harcama,精打細算,zh-TW
Al Filo de la Cordura,智慧末刃,zh-TW
Alacakaranlık Kalkanı,黃昏聖盾,zh-TW
Alakzatba,陣容,zh-TW
Alba di Silvermere,銀織黎明,zh-TW
Alcance as Estrelas,伸手摘星,zh-TW
Alege caracteristica,選擇特性,zh-TW
Alevleri Körükle,熊熊火勢,zh-TW
Alfanje Espectral,鬼使彎刀,zh-TW
Aliado do Protetor,守望者之友,zh-TW
Alianza del Guardián,守望者之友,zh-TW
Alianza del protector,守望者之友,zh-TW
Aliatul îngrijitorului,守望者之友,zh-TW
Alimenta las Llamas,熊熊火勢,zh-TW
Alimentad las llamas,熊熊火勢,zh-TW
Alimentare le fiamme,熊熊火勢,zh-TW
Alimente as Chamas,熊熊火勢,zh-TW
Alineación,陣容,zh-TW
Aliniere,陣容,zh-TW
Alkatrészes zsák,道具組合包I,zh-TW
Alleato del custode,守望者之友,zh-TW
Allumer le feu,熊熊火勢,zh-TW
Alma da Festa,派對咖,zh-TW
Alta Voltagem,高電壓,zh-TW
Alta tensione,高電壓,zh-TW
Alto Voltaje,高電壓,zh-TW
Alto voltaje,高電壓,zh-TW
Altın Ejder,黃金巨龍,zh-TW
Altın Riski,黃金豪賭,zh-TW
Altın Yumurta,黃金蛋,zh-TW
Alvorada de Pratânia,銀織黎明,zh-TW
Aléatoire jacta est,斜槓英雄,zh-TW
Aléatoirement vôtre,雙排,zh-TW
Alışveriş Çılgınlığı,買不手軟,zh-TW
Amanecer Plateado,銀織黎明,zh-TW
Amanecer de Meraplata,銀織黎明,zh-TW
Ami sur mesure,鑄造朋友,zh-TW
Amico dei Mippi,米普星人,zh-TW
Amico fai-da-te,開局新手包,zh-TW
Amigos a medida,開局新手包,zh-TW
Amiguinhos,小小夥伴,zh-TW
Amiguitos,小小夥伴,zh-TW
Amulet Vyzdvižení,昇華護符,zh-TW
Amulett der eisernen Solari,日輪的加冕,zh-TW
Amulett des Aufstiegs,昇華護符,zh-TW
An Exalted Adventure,非凡冒險,zh-TW
Ana Karaktere Bir Şey Olmaz,主角威能,zh-TW
Andare per le lunghe,長久之計,zh-TW
Angajament solid,強力投入,zh-TW
Ani Büyüme,爆炸性成長,zh-TW
Anima,百獸,zh-TW
Anima Amblemi,百獸特攻隊徽章,zh-TW
Anima Commander,百獸指揮官,zh-TW
Anima Emblem,百獸特攻隊徽章,zh-TW
Anima Komutanı,百獸指揮官,zh-TW
Anima-Emblem,百獸特攻隊徽章,zh-TW
Anima-Kommandant,百獸指揮官,zh-TW
Animale da festa,派對咖,zh-TW
Animalia,百獸,zh-TW
Antrenamentul gărzii de corp,保鑣訓練,zh-TW
Anı Yaşa,砸起來,zh-TW
Apariencia Espiritual,振奮盔甲,zh-TW
Apocaliptic,厄運使者,zh-TW
Aposta em Ouro,黃金豪賭,zh-TW
Apoteotická kovárna,神聖熔爐,zh-TW
Apotheotic Forge,神聖熔爐,zh-TW
Appel du chaos,混沌召喚,zh-TW
Aprendizados Iniciais,早期教育,zh-TW
Aprendizaje inicial,早期教育,zh-TW
Aprire un passaggio,殺出血路,zh-TW
Apró cimborák,小小夥伴,zh-TW
Apró titánok,小小大英雄,zh-TW
Apuesta Dorada,黃金豪賭,zh-TW
Apuesta dorada,黃金豪賭,zh-TW
Apunta a las Estrellas,伸手摘星,zh-TW
Apunta a las estrellas,伸手摘星,zh-TW
Apărător,先鋒戰士,zh-TW
Aradığını Bul,嘟嘟好,zh-TW
Arakla,盜取,zh-TW
Araldo di Zeke,錫柯的號角,zh-TW
Aranyjátszma,黃金豪賭,zh-TW
Arauto Desolador de Zeke,錫柯的悲鳴號角,zh-TW
Arauto de Zeke,錫柯的號角,zh-TW
Arbiter,仲裁者,zh-TW
Arbiter Emblem,仲裁者徽章,zh-TW
Arbitro,仲裁者,zh-TW
Arbitrzy,仲裁者,zh-TW
Arc courbe,反曲弓,zh-TW
Arc încovoiat,反曲弓,zh-TW
Arcane Vidor Viktor,奧術：維克特必勝,zh-TW
Arcane Viktor-y,奧術：維克特必勝,zh-TW
Arcane ビクタリー,奧術：維克特必勝,zh-TW
Arcane-Viktor-y,奧術：維克特必勝,zh-TW
Arcaniquement Viktor-ieux,奧術：維克特必勝,zh-TW
Archandělova hůl,大天使之杖,zh-TW
Archangel's Staff,大天使之杖,zh-TW
Archi da supporto,備用弓箭,zh-TW
Archibugio a ripetizione,衝擊火炮,zh-TW
Arco Recurvado,反曲弓,zh-TW
Arco Recurvo,反曲弓,zh-TW
Arco curvo,反曲弓,zh-TW
Arco ricurvo,反曲弓,zh-TW
Arcos Reserva,備用弓箭,zh-TW
Arcos de Repuesto,備用弓箭,zh-TW
Arcos de refuerzo,備用弓箭,zh-TW
Arcs à gogo,備用弓箭,zh-TW
Arcuri de rezervă,備用弓箭,zh-TW
Argento vivo,水銀兜帽,zh-TW
Argint viu,水銀兜帽,zh-TW
Argogranchio,河蟹,zh-TW
Arka Sıra Savunması,後排藍圖,zh-TW
Arkangyal pálcája,大天使之杖,zh-TW
Arma un Amigo,開局新手包,zh-TW
Armado máximo,頂裝,zh-TW
Armadura Improvisada,臨時戰甲,zh-TW
Armadura Pétrea,石像鬼磐核,zh-TW
Armadura de Warmog,好戰者鎧甲,zh-TW
Armadura de trama,主角威能,zh-TW
Armadura improvisada,臨時戰甲,zh-TW
Armaguarda da Caçadora,探索者護腕,zh-TW
Armatura di Warmog,好戰者鎧甲,zh-TW
Armatura improvvisata,臨時戰甲,zh-TW
Armschutz des Suchenden,探索者護腕,zh-TW
Armura lui Warmog,好戰者鎧甲,zh-TW
Armure de Warmog,好戰者鎧甲,zh-TW
Armure improvisée,臨時戰甲,zh-TW
Armure roncière,刺藤胸甲,zh-TW
Armurier,劍匠,zh-TW
Armură improvizată,臨時戰甲,zh-TW
Aronguejo,河蟹,zh-TW
Arta atacului lui Yasuo,犽宿的迅雷之技,zh-TW
Artefacts à la rescousse,力量鍛造,zh-TW
Artesanía Creativa,精心製作,zh-TW
Artiglio del drago,龍之爪,zh-TW
Artiglio del predatore,潛行者之爪,zh-TW
Aruncare magică,魔法擲骰,zh-TW
Arındırıcı,救世主,zh-TW
Asalto de Componentes,組件強盜,zh-TW
Ascender de Posición,攀升之階I,zh-TW
Ascension,飛昇,zh-TW
Ascension partielle,不完全飛昇,zh-TW
Ascension sociale,向上流動,zh-TW
Ascensione,飛昇,zh-TW
Ascensione parziale,不完全飛昇,zh-TW
Ascensiune,飛昇,zh-TW
Ascensiune socială,向上流動,zh-TW
Ascensión,飛昇,zh-TW
Ascensión parcial,不完全飛昇,zh-TW
Ascenso,飛昇,zh-TW
Ascenso social,向上流動,zh-TW
Ascensão,飛昇,zh-TW
Ascensão Parcial,不完全飛昇,zh-TW
Asesinato Doble Veloz,疾速雙殺,zh-TW
Asesinato doble veloz,疾速雙殺,zh-TW
Asesino a Sueldo,契約殺手,zh-TW
Asesino a sueldo,契約殺手,zh-TW
Aspoň k něčemu,死得有價值I,zh-TW
Assassinato Indiscriminado,無差別屠殺,zh-TW
Assinatura de Luxo,訂購奢侈品,zh-TW
Astral,占星師,zh-TW
Astro-groove,太空律動,zh-TW
Astromante,占星師,zh-TW
Astronomo,占星師,zh-TW
At What Cost,不惜代價,zh-TW
Atalho à Vitória,脫穎而出,zh-TW
Atirador de Elite,狙擊專家,zh-TW
Atributo elegido,選擇特性,zh-TW
Attente récompensée,值得等待,zh-TW
Attribut wählen,選擇特性,zh-TW
Atualização Épica,史詩重抽,zh-TW
Atılgan,極速快手,zh-TW
Atılgan Amblemi,極速快手徽章,zh-TW
Atılgan Modu,極速快手模式,zh-TW
Au bout du rouleau,智慧末刃,zh-TW
Aube de Haut-Lac-d'Argent,銀織黎明,zh-TW
Auf lange Sicht,長久之計,zh-TW
Aufschwung,回春,zh-TW
Aufstellung,陣容,zh-TW
Aufstieg,飛昇,zh-TW
Auftragsmörder,契約殺手,zh-TW
Aufwärtsmobilität,向上流動,zh-TW
Augmented Power,增幅之力,zh-TW
Augmentierte Macht,增幅之力,zh-TW
Augmentovaná síla,增幅之力,zh-TW
Aulas de Boxe,拳擊訓練,zh-TW
Aumento di livello in solitaria,獨自升等,zh-TW
Aumento di livello!,升級！,zh-TW
Aura Ahri,阿璃的靈氣,zh-TW
Aura Farming,營造氣場,zh-TW
Aura d'Ahri,阿璃的靈氣,zh-TW
Aura de Ahri,阿璃的靈氣,zh-TW
Aura di Ahri,阿璃的靈氣,zh-TW
Aura lui Ahri,阿璃的靈氣,zh-TW
Aura-farmen,營造氣場,zh-TW
Aurafarmolás,營造氣場,zh-TW
Aurelion Sol,翱銳龍獸,zh-TW
Aurelion Sol áldása,翱銳龍獸的祝福,zh-TW
Aurelion Sol's Boon,翱銳龍獸的祝福,zh-TW
Aurelion Sol'ün Lütfu,翱銳龍獸的祝福,zh-TW
Aurelion Sols Segen,翱銳龍獸的祝福,zh-TW
Aurelion Solův dar,翱銳龍獸的祝福,zh-TW
Auronúcleo,破曉之核,zh-TW
Aurora,歐羅拉,zh-TW
Avanguardia,先鋒戰士,zh-TW
Avaricia,貪財,zh-TW
Aventura Exaltada,非凡冒險,zh-TW
Avidité,貪財,zh-TW
Avènement des deux,價值爆棚,zh-TW
Awans,向上流動,zh-TW
Awansujesz!,升級！,zh-TW
Az Alkony égisze,黃昏聖盾,zh-TW
Az Oltalmazó esküje,保衛者之誓,zh-TW
Az adottságfa,特性神木,zh-TW
Az adottságok könyve,特性典籍,zh-TW
Az aranysárkány,黃金巨龍,zh-TW
Az aranytojás,黃金蛋,zh-TW
Az erő itala,帽帽果汁,zh-TW
Az igazság ökle,正義手套,zh-TW
Az iron solarik medálja,日輪的加冕,zh-TW
Az istenek kohója,神聖熔爐,zh-TW
Az Üresség botja,虛空之杖,zh-TW
Az éj kardja,夜色緣界,zh-TW
Az óriás öve,巨人腰帶,zh-TW
Azami Dizilim,頂裝,zh-TW
Azzardo di Urf,阿福奇兵,zh-TW
Aço Áureo,不破金鋼,zh-TW
Aşırı Büyük Sopa,巨型魔棒,zh-TW
B.F. Sword,暴風之劍,zh-TW
B.F. 대검,暴風之劍,zh-TW
B.F.ソード,暴風之劍,zh-TW
"BEZ ZWIADU, BEZ ZMIAN",不偵察不換陣容,zh-TW
BF Glaive,暴風之劍,zh-TW
BRAK AKTYWNOŚCI,強制中離,zh-TW
Bac de recyclage,回收再利用,zh-TW
Backline Blueprint,後排藍圖,zh-TW
Backup Bows,備用弓箭,zh-TW
Bagarreur,武鬥家,zh-TW
Baguette trop grosse,巨型魔棒,zh-TW
Baguettes à gogo,連續施法,zh-TW
Bahne dir den Weg,殺出血路,zh-TW
Bajkeverő,武鬥家,zh-TW
Bajkeverő embléma,武鬥家徽章,zh-TW
Bajkeverők,怪咖集合,zh-TW
Bajo el mismo foco de Yasuo,犽宿之共享光采,zh-TW
Baluardo,星界壁壘,zh-TW
Baluarte,星界壁壘,zh-TW
Bam!,一棒入魂！,zh-TW
Banc de Pandore,潘朵拉的備戰區,zh-TW
Banca Pandorei,潘朵拉的備戰區,zh-TW
Banca de Pandora,潘朵拉的備戰區,zh-TW
Band of Thieves,神偷軍團,zh-TW
Band of Thieves II,神偷軍團 II,zh-TW
Banda Złodziejaszków,神偷軍團,zh-TW
Banda Złodziejaszków II,神偷軍團 II,zh-TW
Banda de Ladrones,神偷軍團,zh-TW
Banda de Ladrones II,神偷軍團 II,zh-TW
Banda di ladri,神偷軍團,zh-TW
Banda di ladri II,神偷軍團 II,zh-TW
Bande de voleurs,神偷軍團,zh-TW
Bande de voleurs II,神偷軍團 II,zh-TW
Bandito,神影刺客,zh-TW
Bando de Ladrões,神偷軍團,zh-TW
Bando de Ladrões II,神偷軍團 II,zh-TW
Bandă de tâlhari,神偷軍團,zh-TW
Bandă de tâlhari II,神偷軍團 II,zh-TW
Bani de buzunar,午餐錢,zh-TW
Banquillo de Pandora,潘朵拉的備戰區,zh-TW
Bard,巴德,zh-TW
Bardo,巴德,zh-TW
Baricadă,星界壁壘,zh-TW
Barkácsolt barkácsolás,精心製作,zh-TW
Baron verme,巴龍巢穴,zh-TW
Baron's Lair,巴龍巢穴,zh-TW
Baron'un İni,巴龍巢穴,zh-TW
Baronovo doupě,巴龍巢穴,zh-TW
Bastion,堡壘衛士,zh-TW
Bastion Emblem,堡壘衛士徽章,zh-TW
Bastion-Emblem,堡壘衛士徽章,zh-TW
Bastione,堡壘衛士,zh-TW
Bastião,堡壘衛士,zh-TW
Bastión,堡壘衛士,zh-TW
Bastone colossale,巨型魔棒,zh-TW
Bastone del Vuoto,虛空之杖,zh-TW
Bastão Desnecessariamente Grande,巨型魔棒,zh-TW
Bastón del Vacío,虛空之杖,zh-TW
Bastón del arcángel,大天使之杖,zh-TW
Bastón del serafín,熾天使之杖,zh-TW
Baue einen Begleiter,開局新手包,zh-TW
Baue einen Begleiter,打造夥伴,zh-TW
Baza avangardei,前線基礎,zh-TW
Başmelek Asası,大天使之杖,zh-TW
Bašta,堡壘衛士,zh-TW
Becsapódás,砸起來,zh-TW
Beklemeye Değer,值得等待,zh-TW
Beklenen Beklenmezlik,預料中的意外,zh-TW
Bel'Veth,貝爾薇斯,zh-TW
Belt Overflow,腰帶多多,zh-TW
Ben Tek Siz Hepiniz,獨自升等,zh-TW
Bendecido por los Dioses,神寵者,zh-TW
Bendición de Ahri,阿璃的祝福,zh-TW
Bendición de Aurelion Sol,翱銳龍獸的祝福,zh-TW
Bendición de Ekko,艾克的祝福,zh-TW
Bendición de Evelynn,伊芙琳的祝福,zh-TW
Bendición de Kayle,凱爾的祝福,zh-TW
Bendición de Resurrección,復活祝福,zh-TW
Bendición de Soraka,索拉卡的祝福,zh-TW
Bendición de Thresh,瑟雷西的祝福,zh-TW
Bendición de Varus,法洛士的祝福,zh-TW
Bendición de Yasuo,犽宿的祝福,zh-TW
Bendición de la chatarra,女武神的祝福,zh-TW
Bendición del Chatarrero,女武神的祝福,zh-TW
Bendito por los dioses,神寵者,zh-TW
Benedetto dagli dei,神寵者,zh-TW
Benlik Aynası,鏡像人格,zh-TW
Berechneter Verlust,這次戰敗也在計算之中,zh-TW
Berger,星靈牧者,zh-TW
Besace d'Urf,阿福大禮包,zh-TW
Besace héroïque,英雄禮包,zh-TW
Best Friends,一生摯友,zh-TW
Beste Freunde,一生摯友,zh-TW
Bestia fiestera,派對咖,zh-TW
Betervezett veszteség,這次戰敗也在計算之中,zh-TW
Bevásárló körút,買不手軟,zh-TW
Bezwzględny Zabójca,無差別屠殺,zh-TW
Big Bang,大霹靂星系,zh-TW
Big Grab Bag,大禮包,zh-TW
Biglietto prismatico,稜鏡票券,zh-TW
Bilet prismatic,稜鏡票券,zh-TW
Bileşen Eşya Soygunu,組件強盜,zh-TW
Bilhete Prismático,稜鏡票券,zh-TW
Bilişsel Patlama,認知超載,zh-TW
Bilişsel Vergi,智商稅,zh-TW
Billete prismático,稜鏡票券,zh-TW
Bindende Verpflichtung,強力投入,zh-TW
Binecuvântat de zei,神寵者,zh-TW
Biomassebewahrer,生物材料保存,zh-TW
Biomassza-megőrző,生物材料保存,zh-TW
Biomatter Preserver,生物材料保存,zh-TW
Bir Yol Çiz,殺出血路,zh-TW
Bir İki Üç,一二三,zh-TW
"Bir, İki, Beş!",一、二、五！,zh-TW
Birikim Hesabı,儲蓄帳戶,zh-TW
Birlikten Kuvvet Doğar,並肩作戰,zh-TW
Birliğin Gücü,攜手同行,zh-TW
Birthday Present,生日禮物,zh-TW
Birthday Reunion,生日團聚,zh-TW
Biyomalzeme Koruyucusu,生物材料保存,zh-TW
Biztos győzelem,脫穎而出,zh-TW
Blason de Zeke,錫柯的號角,zh-TW
Blason des Lightshield,光盾之紋,zh-TW
Blason lugubre de Zeke,錫柯的悲鳴號角,zh-TW
Blasón de Escudo de luz,光盾之紋,zh-TW
Blauer Buff,藍Buff,zh-TW
Blaupause für die hintere Reihe,後排藍圖,zh-TW
Blazonul Lightshield,光盾之紋,zh-TW
Blazonul solarilor de fier,日輪的加冕,zh-TW
Blighting Jewel,枯萎寶石,zh-TW
Blikavé čepele,閃刃,zh-TW
Blitzcrank,布里茨,zh-TW
Bliźniaczy Strażnicy,雙生守衛,zh-TW
Blood Offering,血祭,zh-TW
Blood Price,血償,zh-TW
Bloodthirster,嗜血者,zh-TW
Blue Buff,藍Buff,zh-TW
Blutdürster,嗜血者,zh-TW
Blutopfer,血祭,zh-TW
Blutzoll,血償,zh-TW
Bluźnierczy Bożek,禁忌之像,zh-TW
Bodyguard Training,保鑣訓練,zh-TW
Bogini Broni,重槍女武神,zh-TW
Bokormellény,刺藤胸甲,zh-TW
Boks Dersi,拳擊訓練,zh-TW
Bokszkesztyű,格鬥手套,zh-TW
Bokszlecke,拳擊訓練,zh-TW
Boleto Prismático,稜鏡票券,zh-TW
Bollwerk,星界壁壘,zh-TW
Bolsa de Objetos,道具組合包I,zh-TW
Bolsa de Sorpresas Heroica,英雄禮包,zh-TW
Bolsa de Sorpresas Pequeña,小型禮包,zh-TW
Bolsa de Sorpresas de Urf,阿福大禮包,zh-TW
Bolsa de Sorpresas grande,大禮包,zh-TW
Bolsa sorpresa de Urf,阿福大禮包,zh-TW
Bolsa sorpresa de objetos,道具組合包I,zh-TW
Bolsa sorpresa grande,大禮包,zh-TW
Bolsa sorpresa heroica,英雄禮包,zh-TW
Bolsa sorpresa pequeña,小型禮包,zh-TW
Bombardıman Topu,衝擊火炮,zh-TW
Boneco de Treinamento,訓練假人,zh-TW
Bonecos de Impacto,碰撞測試,zh-TW
Bonk!,一棒入魂！,zh-TW
Bonk !,一棒入魂！,zh-TW
Boon of Resurrection,復活祝福,zh-TW
Boon of the Scrapper,女武神的祝福,zh-TW
Boong!,一棒入魂！,zh-TW
Booster,強化包,zh-TW
Booster Pack,強化包,zh-TW
Booster-Packung,強化包,zh-TW
Boostery,強化包,zh-TW
Borsa degli oggetti,道具組合包I,zh-TW
Borsa di Urf,阿福大禮包,zh-TW
Borsa eroica,英雄禮包,zh-TW
Borsa grande,大禮包,zh-TW
Borsa piccola,小型禮包,zh-TW
Boscy Pojedynkowicze,神鬥士,zh-TW
Boshafte Monetarisierung,惡性經營,zh-TW
Boska Kuźnia,神聖熔爐,zh-TW
Bote de Segunda Mano,回收再利用,zh-TW
Botkovács,杖匠,zh-TW
Bouclier du Tacticien,棋手之盾,zh-TW
Boxeador Profesional,拳擊選手,zh-TW
Boxing Lessons,拳擊訓練,zh-TW
Boxunterricht,拳擊訓練,zh-TW
Boyut Önemli,大小很重要,zh-TW
Božská pistolnice,重槍女武神,zh-TW
Božský duelista,神鬥士,zh-TW
Bramble Vest,刺藤胸甲,zh-TW
Branching Out,斜槓英雄,zh-TW
Bratpfanne,平底鍋,zh-TW
Brawler,武鬥家,zh-TW
Brawler Emblem,武鬥家徽章,zh-TW
Brazalete de la buscadora,探索者護腕,zh-TW
Briar,布蕾爾,zh-TW
Brigand,劫掠者,zh-TW
Brise-temps,時間破壞者,zh-TW
Bronce de por Vida,銅級之命II,zh-TW
Bronce de por vida,銅級之命II,zh-TW
Bronz mindörökké II.,銅級之命II,zh-TW
Bronz nad zlato,銅級之命II,zh-TW
Bronz pentru totdeauna,銅級之命II,zh-TW
Bronzdan Şaşma,銅級之命II,zh-TW
Bronze For Life,銅級之命II,zh-TW
Bronze pour la vie,銅級之命II,zh-TW
Bronze é Vida,銅級之命II,zh-TW
Bronzo per la vita,銅級之命II,zh-TW
Brylantowa Rękawica,寶石手套,zh-TW
Brylantowy Lotos,珠光蓮花II,zh-TW
Brățara căutătorului,探索者護腕,zh-TW
Bu Taç Ağır,沉重王冠,zh-TW
Bubuilă,惡鯊火箭,zh-TW
Bucătăria tacticianului,棋手廚房,zh-TW
Bueno para Algo,死得有價值I,zh-TW
Buff bleu,藍Buff,zh-TW
Buff blu,藍Buff,zh-TW
Buff rosso,紅Buff,zh-TW
Buff rouge,紅Buff,zh-TW
Buff-ul albastru,藍Buff,zh-TW
Buff-ul roșu,紅Buff,zh-TW
Buffs à gogo,一個Buff，兩個Buff,zh-TW
Buget înțelept,精打細算,zh-TW
Build a Bud,開局新手包,zh-TW
Build maxim,頂裝,zh-TW
Bulwark,星界壁壘,zh-TW
Burattino d'ombra,影子木偶,zh-TW
Burguesía,金湯匙,zh-TW
Buried Treasure,地底寶藏,zh-TW
Buried Treasures,地底寶藏,zh-TW
Bustina,強化包,zh-TW
Butin aléatoire,一、二、五！,zh-TW
Butin funéraire,死得有價值I,zh-TW
Butin varié,嘟嘟好,zh-TW
Buzduganul înaintașului,打手連枷,zh-TW
Bušení,砸起來,zh-TW
Bài Học Sơ Khai,早期教育,zh-TW
Bàn Tay Công Lý,正義手套,zh-TW
Báculo del Arcángel,大天使之杖,zh-TW
Báculo del Serafín,熾天使之杖,zh-TW
Báculo del Vacío,虛空之杖,zh-TW
Bán Thăng Hoa,不完全飛昇,zh-TW
Báo Oán,復仇,zh-TW
Bástya,星界壁壘,zh-TW
Bârlogul Baronului,巴龍巢穴,zh-TW
Bâton angélique,熾天使之杖,zh-TW
Bâton de l'archange,大天使之杖,zh-TW
Bâton du vide,虛空之杖,zh-TW
Bão Tố Luden,盧登驟雨,zh-TW
Bão Vàng,天外橫財,zh-TW
Béni des dieux,神寵者,zh-TW
Bénédiction d'Ahri,阿璃的祝福,zh-TW
Bénédiction d'Aurelion Sol,翱銳龍獸的祝福,zh-TW
Bénédiction d'Ekko,艾克的祝福,zh-TW
Bénédiction d'Evelynn,伊芙琳的祝福,zh-TW
Bénédiction de Kayle,凱爾的祝福,zh-TW
Bénédiction de Soraka,索拉卡的祝福,zh-TW
Bénédiction de Thresh,瑟雷西的祝福,zh-TW
Bénédiction de Varus,法洛士的祝福,zh-TW
Bénédiction de Yasuo,犽宿的祝福,zh-TW
Bénédiction de résurrection,復活祝福,zh-TW
Bénédiction du Ferrailleur,女武神的祝福,zh-TW
Bérgyilkos,契約殺手,zh-TW
Bête de scène,派對咖,zh-TW
Bóng Phân Thân,影子木偶,zh-TW
Bùa Thăng Hoa,昇華護符,zh-TW
Bùa Xanh,藍Buff,zh-TW
Bùa Đỏ,紅Buff,zh-TW
Büyük Dönüş,逆轉佳話,zh-TW
Büyük Patlama,大霹靂星系,zh-TW
Büyük Çekiliş,大禮包,zh-TW
Büyülü Zarlar,魔法擲骰,zh-TW
Băng Trộm,神偷軍團,zh-TW
Băng Trộm II,神偷軍團 II,zh-TW
Bătăuș,武鬥家,zh-TW
Běž do toho,嘟嘟好,zh-TW
Błogosławieni,神寵者,zh-TW
Błogosławieństwo Rozrabiaki,女武神的祝福,zh-TW
Błogosławiona Przygoda,非凡冒險,zh-TW
Bước Đột Phá,究極暴擊,zh-TW
Bạn Thân,一生摯友,zh-TW
Bảo Hộ Vô Tận,無限守護,zh-TW
Bảo Tồn Sinh Chất,生物材料保存,zh-TW
